bench,optionset,mliropt_args,mlir_opt_version,flag_did_nothing,correct,error
gesummv,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
gramschmidt,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
heat-3d,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
jacobi-1d,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
jacobi-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
lu,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
ludcmp,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
mvt,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,no,yes,
nussinov,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
seidel-2d,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
symm,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
syr2k,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
syrk,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
trisolv,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
trmm,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
2mm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
3mm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
atax,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
bicg,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
cholesky,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
correlation,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
covariance,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
deriche,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
doitgen,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
fdtd-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
floyd-warshall,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
gemm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
gemver,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
gesummv,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
gramschmidt,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
heat-3d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
jacobi-1d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
jacobi-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
lu,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
ludcmp,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
mvt,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
nussinov,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
seidel-2d,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
symm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
syr2k,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
syrk,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
trisolv,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,yes,yes,
trmm,affine-parallelize," --affine-parallelize=""max-nested=1""",llvm19,no,no,
2mm,no-args,,llvm21,yes,yes,
3mm,no-args,,llvm21,yes,yes,
atax,no-args,,llvm21,yes,yes,
bicg,no-args,,llvm21,yes,yes,
cholesky,no-args,,llvm21,yes,yes,
correlation,no-args,,llvm21,yes,yes,
covariance,no-args,,llvm21,yes,yes,
deriche,no-args,,llvm21,yes,yes,
doitgen,no-args,,llvm21,yes,yes,
fdtd-2d,no-args,,llvm21,yes,yes,
floyd-warshall,no-args,,llvm21,yes,yes,
gemm,no-args,,llvm21,yes,yes,
gemver,no-args,,llvm21,yes,yes,
gesummv,no-args,,llvm21,yes,yes,
gramschmidt,no-args,,llvm21,yes,yes,
heat-3d,no-args,,llvm21,yes,yes,
jacobi-1d,no-args,,llvm21,yes,yes,
jacobi-2d,no-args,,llvm21,yes,yes,
lu,no-args,,llvm21,yes,yes,
ludcmp,no-args,,llvm21,yes,yes,
mvt,no-args,,llvm21,yes,yes,
nussinov,no-args,,llvm21,yes,yes,
seidel-2d,no-args,,llvm21,yes,yes,
symm,no-args,,llvm21,yes,yes,
syr2k,no-args,,llvm21,yes,yes,
syrk,no-args,,llvm21,yes,yes,
trisolv,no-args,,llvm21,yes,yes,
trmm,no-args,,llvm21,yes,yes,
2mm,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
3mm,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
atax,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
bicg,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
cholesky,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
correlation,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
covariance,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
deriche,affine-loop-fusion, --affine-loop-fusion,llvm21,no,yes,
doitgen,affine-loop-fusion, --affine-loop-fusion,llvm21,no,no,tree_difference
fdtd-2d,affine-loop-fusion, --affine-loop-fusion,llvm21,no,no,
floyd-warshall,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
gemm,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
gemver,affine-loop-fusion, --affine-loop-fusion,llvm21,no,yes,
gesummv,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
gramschmidt,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
heat-3d,affine-loop-fusion, --affine-loop-fusion,llvm21,no,yes,
jacobi-1d,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
jacobi-2d,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
lu,affine-loop-fusion, --affine-loop-fusion,llvm21,no,yes,
ludcmp,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
mvt,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
nussinov,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
seidel-2d,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
symm,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
syr2k,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
syrk,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
trisolv,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
trmm,affine-loop-fusion, --affine-loop-fusion,llvm21,yes,yes,
2mm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
3mm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,yes,yes,
atax,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
bicg,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm21,no,yes,
