name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
2mm,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
syr2k,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
gesummv,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
trisolv,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
heat-3d,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
trmm,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
jacobi-1d,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
seidel-2d,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
covariance,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
lu,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
fdtd-2d,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
adi,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
cholesky,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
atax,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
gemver,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
jacobi-2d,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
symm,llvm19-affine-unroll,affine-unroll,llvm19,yes,N/A,no
syrk,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
gemm,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,no
3mm,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
doitgen,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
durbin,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
floyd-warshall,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,no
deriche,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
gramschmidt,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
nussinov,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
bicg,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
ludcmp,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
mvt,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,no
correlation,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
2mm,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
syr2k,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
gesummv,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
trisolv,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
heat-3d,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
trmm,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
jacobi-1d,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
seidel-2d,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
covariance,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
lu,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
fdtd-2d,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
adi,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
cholesky,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
atax,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
gemver,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,no
jacobi-2d,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
symm,llvm19-affine-unroll-jam,affine-unroll-jam,llvm19,yes,N/A,yes
syrk,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
gemm,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
3mm,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
doitgen,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
durbin,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
floyd-warshall,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
deriche,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
gramschmidt,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
nussinov,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
bicg,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
ludcmp,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
mvt,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
correlation,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
2mm,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
syr2k,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
gesummv,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
trisolv,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
heat-3d,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
trmm,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
jacobi-1d,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
seidel-2d,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
covariance,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
lu,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
fdtd-2d,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
adi,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
cholesky,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
atax,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
gemver,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
jacobi-2d,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,no
symm,llvm19-affine-parallelize,affine-parallelize,llvm19,yes,N/A,yes
syrk,llvm21-no-args,no-args,llvm21,yes,N/A,yes
gemm,llvm21-no-args,no-args,llvm21,yes,N/A,yes
3mm,llvm21-no-args,no-args,llvm21,yes,N/A,yes
doitgen,llvm21-no-args,no-args,llvm21,yes,N/A,yes
durbin,llvm21-no-args,no-args,llvm21,yes,N/A,yes
floyd-warshall,llvm21-no-args,no-args,llvm21,yes,N/A,yes
deriche,llvm21-no-args,no-args,llvm21,yes,N/A,yes
gramschmidt,llvm21-no-args,no-args,llvm21,yes,N/A,yes
nussinov,llvm21-no-args,no-args,llvm21,yes,N/A,yes
bicg,llvm21-no-args,no-args,llvm21,yes,N/A,yes
ludcmp,llvm21-no-args,no-args,llvm21,yes,N/A,yes
mvt,llvm21-no-args,no-args,llvm21,yes,N/A,yes
correlation,llvm21-no-args,no-args,llvm21,yes,N/A,yes
2mm,llvm21-no-args,no-args,llvm21,yes,N/A,yes
syr2k,llvm21-no-args,no-args,llvm21,yes,N/A,yes
gesummv,llvm21-no-args,no-args,llvm21,yes,N/A,yes
trisolv,llvm21-no-args,no-args,llvm21,yes,N/A,yes
heat-3d,llvm21-no-args,no-args,llvm21,yes,N/A,yes
trmm,llvm21-no-args,no-args,llvm21,yes,N/A,yes
jacobi-1d,llvm21-no-args,no-args,llvm21,yes,N/A,yes
seidel-2d,llvm21-no-args,no-args,llvm21,yes,N/A,yes
covariance,llvm21-no-args,no-args,llvm21,yes,N/A,yes
lu,llvm21-no-args,no-args,llvm21,yes,N/A,yes
fdtd-2d,llvm21-no-args,no-args,llvm21,yes,N/A,yes
adi,llvm21-no-args,no-args,llvm21,yes,N/A,yes
cholesky,llvm21-no-args,no-args,llvm21,yes,N/A,yes
atax,llvm21-no-args,no-args,llvm21,yes,N/A,yes
gemver,llvm21-no-args,no-args,llvm21,yes,N/A,yes
jacobi-2d,llvm21-no-args,no-args,llvm21,yes,N/A,yes
symm,llvm21-no-args,no-args,llvm21,yes,N/A,yes
syrk,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
gemm,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
3mm,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
doitgen,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
durbin,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
floyd-warshall,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
deriche,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
gramschmidt,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
nussinov,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
bicg,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
ludcmp,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
mvt,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
correlation,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
2mm,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
syr2k,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
gesummv,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
trisolv,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
heat-3d,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
trmm,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
jacobi-1d,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
seidel-2d,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
covariance,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
lu,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
fdtd-2d,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
adi,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
cholesky,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
atax,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
gemver,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,no
jacobi-2d,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
symm,llvm21-affine-loop-fusion,affine-loop-fusion,llvm21,yes,N/A,yes
